asin,helpful,owner,rating,review,reviewDate,reviewLoc,sentiment,title
B07H2V5YLH,689,Chenoa Jacobs,5.0,"This is the first time I’ve used these screen protectors (or any, really!) and I found them pretty easy to apply. I bought the 3 pack for my husband and I’s new phones and while I used the 1st one for learning purposes, by the 3rd (my husbands phone 😏) it was pretty perfected. What I learned (so you don’t have to waste any)","May 19, 2019",the United States,,User friendly / read on for tips I learned!
B07H2V5YLH,477,Blessed4life,5.0,Dropped my phone the other night getting out of my Jeep and when looked I thought I just made a hundred dollar mistake. It was dark out so I thought I just destroyed my screen. When I got in the house and peeled off the screen protector it was the only thing cracked my screen was 100% fine. Would recommend this protector to anyone looking for a solid screen protector,"December 8, 2019",the United States,,Saved me $100 easy
B07H2V5YLH,317,Annabelle S,5.0,Bought this for my new iPhone 12. Put the glass on as soon as I took the phone out of the box. The install was ridiculously easy. Literally just peeled off the backing and it went on so smoothly with absolutely no bubbles. Perfect fit on the phone too.,"October 24, 2020",the United States,,Very satisfied
B07H2V5YLH,446,Grandpa Wilbur,5.0,"We have been using these Ailun screen protectors for a few months and I favor them over anything else that we have tried, for three reasons.","October 29, 2018",the United States,,"Clean, scratch resistant, and protective. Easy installation."
B07H2V5YLH,204,christian chapman,5.0,"This screen protector saved my brand new phone! I dropped it at the park while playing with the kiddos and thought for sure that my actual phone cracked. The pack comes with 3 and when I went to put a new protector on (just so my fingers wouldn’t slide on the cracked glass) I was WONDERFULLY SURPRISED that my phone was totally 100% fine. It really looked like the cracked webs were on the main screen, but nope! So happy with this purchase. I’m going to buy more because I’m a dropper. :)","January 28, 2019",the United States,,Durable and necessary preventative measure!
B07H2V5YLH,162,Dchaffins,5.0,This is a great product at a great value. You get three screen protectors along with three wet and dry wipes. The best part was how easy it was to install. I have bought screen protectors for all my phones and other devices and they have always required some readjustment or work to make sure the screen protector fit properly without any bubbles. I just placed this screen protector on the phone and pressed down in the Center and it adhered to the phone with no air bubbles at all. It was the easiest installation ever. This is my new go to screen protector.,"October 19, 2019",the United States,,Great product at a great price
B07H2V5YLH,156,Anthony Nuseng Yang,5.0,The screen protector glass came with 3 and installing everything together was very easy. I’m loving how my iPhone XR looks and this is a Yassss for me.,"March 25, 2019",the United States,,IPhone XR screen protector
B07H2V5YLH,89,Chuabacca,2.0,"This is a decent screen protector, but the edges aren’t rounded enough. It looks like they did grind the edges slightly because the reflections look rounded, but it still feels like a hard corner to the touch. This is especially noticeable when you swipe up to go to the home screen, which you do all the time on the XR. It doesn’t prevent you from using the phone, but it really detracts from the tactile experience. On a slightly more nit-picky note, the shape of the screen protector doesn’t exactly match the LCD portion of the screen. For those OCD types, it’s one of those things you can’t unsee. Durability is also questionable since the first protector I put on less than a week ago now has a crack in the top right corner. I dropped the phone once from about 2ft onto asphalt. The phone was in a case and there was no other noticeable damage.","November 2, 2018",the United States,,Sharp corners
B07H2V5YLH,48,Amazon_Customer,1.0,"I purchased this knowing the buyer mentioned it does not cover the entire screen.  That is to be expected for a glass screen protector that is case friendly.  But this does not appear to be the correct size for the iPhone XR.  There is a gap of a half a centimeter on each side of the glass and about a quarter of a centimeter between the top and bottom parts of the glass.  Overall it appears as if it is not the right screen protector for this model.  I have owned many phones and bought many screen protectors.  This was a gift for a family member and their new phone.  I was embarrassed by how much of the actual screen is left exposed with this screen protector on it.  I have never had something that was so out of touch with reality.  I don't know how this is considered ""precision"" cut or anything even close to that term.  They may be proud of the so called precision  of cutting the screen protector in the same general shape of the actual screen, but it is cut too small and appears very generic and almost like a universal screen protector that could be used on ANY phone with a similar notch.  I normally would have left a positive comment about things like installation, durability, and other aspects of this item.  But the ""fit"" is so off that it is hard for me to care much about how it performs.  I'm more concerned about how much of the screen is still exposed and susceptible to damage.  So back to the search for a quality screen protector that is cut properly... or precisely for the iPhone XR and not just a general shape of a screen with a notch.","October 17, 2019",the United States,,Seller does say this doesn't cover entire screen but it is not the right size for phone
B07H2V5YLH,55,CtryBy,1.0,For some reason then crack easily. Without even dropping them or banging them up. Two protectors now and I’ve randomly noticed out of nowhere chips or cracks in them appearing. Customer service was unfortunate as I messaged them first and asked what was going on. Maybe a bad batch? Everyone seemed so happy with them in the reviews. I got a generic “we couldn’t possibly care less” response. It’s unfortunate. Because I have one left and now a task of finding another manufacturer to order from. It’s a relatively inexpensive product but honestly it would have been nice if someone had attempted to resolve this.,"June 10, 2019",the United States,,Cracks and Chips Randomly Appear
